short_name,nationality_name,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_reflexes,goalkeeping_speed
L. Messi,Argentina,85,92,91,95,34,85,95,91,96,91,91,86,35,24,6,11,8,
R. Lewandowski,Poland,78,92,79,86,44,71,95,70,88,77,77,90,42,19,15,6,10,
Cristiano Ronaldo,Portugal,87,94,80,88,34,87,95,77,88,85,86,94,32,24,7,11,11,
Neymar Jr,Brazil,91,83,86,94,37,85,83,81,95,93,96,80,32,29,9,9,11,
K. De Bruyne,Belgium,76,86,93,88,64,94,82,93,91,76,79,91,65,53,15,13,13,
J. Oblak,Slovenia,,,,,,13,11,40,30,43,67,59,12,18,87,92,90,50
K. Mbappé,France,97,88,80,92,36,78,93,71,91,97,92,86,34,32,13,5,6,
M. Neuer,Germany,,,,,,15,13,68,46,54,51,68,10,11,88,88,88,56
M. ter Stegen,Germany,,,,,,18,14,63,30,38,39,66,13,10,88,85,90,43
H. Kane,England,70,91,83,83,47,80,94,86,85,65,71,91,36,38,8,10,11,
N. Kanté,France,78,66,75,82,87,68,65,79,81,82,82,71,93,86,15,12,10,
K. Benzema,France,76,86,81,87,39,75,90,73,90,77,79,85,24,18,13,11,7,
T. Courtois,Belgium,,,,,,14,14,35,23,42,62,56,18,16,84,89,88,46
H. Son,Korea Republic,88,87,82,86,43,83,88,74,84,85,86,88,34,33,11,13,10,
Casemiro,Brazil,65,73,76,73,86,58,64,84,79,60,61,88,88,87,13,14,12,
V. van Dijk,Netherlands,78,60,71,72,91,53,52,86,76,66,61,81,92,86,13,10,11,
S. Mané,Senegal,91,83,80,89,44,78,86,71,88,93,93,83,42,38,10,10,14,
M. Salah,Egypt,90,87,81,90,45,79,91,75,89,89,91,82,43,41,14,14,14,
Ederson,Brazil,,,,,,20,14,66,40,64,60,70,15,8,87,82,88,64
J. Kimmich,Germany,70,73,86,84,83,91,68,90,85,77,84,78,85,79,8,15,15,
Alisson,Brazil,,,,,,17,13,44,30,56,40,63,19,16,86,86,89,52
G. Donnarumma,Italy,,,,,,12,12,34,30,50,64,59,14,16,91,83,90,52
Sergio Ramos,Spain,70,70,76,74,88,66,65,83,83,71,77,79,89,91,11,8,11,
L. Suárez,Uruguay,72,90,82,84,47,80,93,77,86,76,75,89,45,38,27,25,37,
T. Kroos,Germany,53,81,91,81,71,88,77,93,88,55,63,89,73,60,10,11,10,
R. Lukaku,Belgium,84,87,74,78,39,73,92,70,77,81,60,89,41,30,8,15,10,
K. Navas,Costa Rica,,,,,,11,15,37,30,54,60,56,14,14,89,84,89,54
R. Sterling,England,91,82,79,87,45,79,85,69,86,95,94,78,53,47,15,12,9,
Bruno Fernandes,Portugal,75,86,89,84,70,87,83,88,87,77,80,89,73,65,12,14,14,
E. Haaland,Norway,89,91,65,80,45,47,94,51,85,82,75,94,43,30,7,14,7,
S. Agüero,Argentina,71,89,75,87,33,70,93,64,88,75,82,90,29,24,13,15,14,
H. Lloris,France,,,,,,13,10,50,34,61,55,49,10,18,88,83,90,61
L. Modrić,Croatia,73,76,89,88,72,86,72,89,90,76,91,79,75,71,13,9,9,
Á. Di María,Argentina,83,81,86,87,48,88,79,82,87,83,94,83,55,52,10,7,11,
W. Szczęsny,Poland,,,,,,12,12,36,22,51,55,55,13,12,86,82,88,49
T. Müller,Germany,67,84,83,80,56,85,88,79,84,66,73,78,57,46,6,7,14,
C. Immobile,Italy,86,87,67,81,39,55,91,53,83,84,75,86,33,32,6,8,6,
P. Pogba,France,71,81,86,86,65,77,75,92,90,63,73,90,67,63,5,6,3,
M. Verratti,Italy,64,61,87,91,79,82,60,89,92,68,91,60,82,84,12,12,10,
Marquinhos,Brazil,81,53,75,74,89,68,51,85,79,81,69,65,89,89,6,6,13,
L. Goretzka,Germany,81,82,82,84,81,75,82,84,87,78,76,85,85,77,13,8,9,
P. Dybala,Argentina,84,86,86,90,40,82,85,79,93,88,92,84,41,39,5,4,8,
A. Robertson,Scotland,84,61,81,81,82,88,55,76,83,83,78,76,84,81,11,8,14,
F. de Jong,Netherlands,81,69,85,88,77,78,72,87,89,80,88,68,76,77,7,13,9,
T. Alexander-Arnold,England,79,68,88,80,80,92,60,90,86,77,73,82,83,79,14,15,7,
J. Sancho,England,81,76,82,91,36,82,83,70,90,85,91,73,39,32,7,11,13,
Rúben Dias,Portugal,61,38,65,68,88,54,29,74,74,57,59,74,89,85,7,8,12,
G. Chiellini,Italy,68,46,60,59,89,63,33,67,57,67,53,78,89,88,3,3,3,
